Source,Target,Type,Id,Label,timeset,Weight
64025076.0,9.404990858864804e+17,Directed,33942,,,2
1099277484.0,9.404990858864804e+17,Directed,33861,,,2
7.767514983614996e+17,9.404990858864804e+17,Directed,33848,,,8
1.5522158380774728e+18,9.404990858864804e+17,Directed,33811,,,2
261313819.0,9.404990858864804e+17,Directed,33690,,,3
2259602216.0,9.404990858864804e+17,Directed,33650,,,2
1.0508630827869512e+18,9.404990858864804e+17,Directed,33611,,,2
9.155129463856538e+17,9.404990858864804e+17,Directed,33581,,,2
1099289419.0,9.404990858864804e+17,Directed,33484,,,5
68699856.0,9.404990858864804e+17,Directed,33279,,,4
870215444.0,9.404990858864804e+17,Directed,33025,,,2
1563469758.0,9.404990858864804e+17,Directed,32951,,,2
249159572.0,9.404990858864804e+17,Directed,32888,,,2
8.630853582963139e+17,9.404990858864804e+17,Directed,32811,,,3
1.51376268326647e+18,9.404990858864804e+17,Directed,32763,,,2
461279977.0,9.404990858864804e+17,Directed,32730,,,2
165692568.0,9.404990858864804e+17,Directed,32648,,,2
2666328385.0,9.404990858864804e+17,Directed,31451,,,3
1527901958.0,9.404990858864804e+17,Directed,21338,,,2
29209147.0,9.404990858864804e+17,Directed,16572,,,3
370172207.0,9.404990858864804e+17,Directed,16116,,,3
7.06619649455231e+17,9.404990858864804e+17,Directed,14660,,,4
556677329.0,9.404990858864804e+17,Directed,13464,,,2
1.496779208890196e+18,9.404990858864804e+17,Directed,13318,,,2
374048110.0,9.404990858864804e+17,Directed,12727,,,4
432883951.0,9.404990858864804e+17,Directed,12246,,,3
8.406862025881559e+17,9.404990858864804e+17,Directed,12105,,,4
506383457.0,9.404990858864804e+17,Directed,11887,,,2
558041398.0,9.404990858864804e+17,Directed,11528,,,2
1.2573097668433715e+18,9.404990858864804e+17,Directed,11317,,,4
1115355895.0,9.404990858864804e+17,Directed,10295,,,2
437702483.0,9.404990858864804e+17,Directed,10289,,,2
1.220800706170491e+18,9.404990858864804e+17,Directed,9351,,,4
1.5507506374276628e+18,9.404990858864804e+17,Directed,9323,,,2
1.0562810139267072e+18,9.404990858864804e+17,Directed,9192,,,2
2360561302.0,9.404990858864804e+17,Directed,9085,,,3
1.4904913126128148e+18,9.404990858864804e+17,Directed,8991,,,5
9.850662881365484e+17,9.404990858864804e+17,Directed,8618,,,2
398291330.0,9.404990858864804e+17,Directed,8337,,,2
7.365452835768934e+17,9.404990858864804e+17,Directed,8301,,,2
43595502.0,9.404990858864804e+17,Directed,8230,,,3
1.496866377910657e+18,9.404990858864804e+17,Directed,8134,,,3
1931443429.0,9.404990858864804e+17,Directed,8030,,,2
1.1014254794694164e+18,9.404990858864804e+17,Directed,7807,,,2
452294805.0,9.404990858864804e+17,Directed,7746,,,3
139340211.0,9.404990858864804e+17,Directed,7683,,,3
8.223806763263795e+17,9.404990858864804e+17,Directed,7629,,,3
1.2388870743773676e+18,9.404990858864804e+17,Directed,7551,,,2
1.5537255859685622e+18,9.404990858864804e+17,Directed,7540,,,2
1.001145604284801e+18,9.404990858864804e+17,Directed,7293,,,2
9.714217793182392e+17,9.404990858864804e+17,Directed,7070,,,2
4189216517.0,9.404990858864804e+17,Directed,7039,,,2
1019757966.0,9.404990858864804e+17,Directed,6985,,,2
